LFI18S,0.00141056923173,-0.00037689062388,0.99999893412338,0.99871998320626
LFI18M,0.00112002512689,-0.0003283859862,0.99999931885295,0.99890329637293
LFI19S,0.00178611369688,-0.0004403697545,0.99999830793474,0.99848164493046
LFI19M,0.00142927804579,-0.00047454175238,0.99999886598655,0.99867052810476
LFI20S,0.00170086920968,-0.00061036624912,0.99999836724715,0.99845051441614
LFI20M,0.00155488979116,-0.00059289001737,0.99999861539862,0.9985190117076
LFI21S,0.00169757209329,0.00060961185088,0.99999837330987,0.99845283986249
LFI21M,0.00154862749499,0.00059228926427,0.99999862547221,0.99852286260765
LFI22S,0.00178611369688,0.0004403697545,0.99999830793474,0.99848164493046
LFI22M,0.00142927804579,0.00047454175238,0.99999886598655,0.99867052810477
LFI23S,0.00141056923173,0.00037689062388,0.99999893412338,0.99871998320627
LFI23M,0.00112002512689,0.00032838598619,0.99999931885295,0.99890329637293
LFI24S,0.00034636411743,-2.85309170870922E-07,0.99999994001591,0.99974943857934
LFI24M,0.0004393955323,-2.94142319753705E-07,0.99999990346574,0.99965819850554
LFI25S,-0.00010428719496,0.00019328051934,0.99999997588341,0.99983444295154
LFI25M,-0.00011004766833,0.00027656488668,0.99999995570069,0.99977097880736
LFI26S,-0.00010428719496,-0.00019328051934,0.99999997588341,0.99983444295155
LFI26M,-0.00011004766833,-0.00027656488668,0.99999995570069,0.99977097880735
LFI27S,0.0016613273547,0.0006651836302,0.9999983987598,0.99864716614255
LFI27M,0.00155833450163,0.00064183510237,0.99999857981963,0.99868199759843
LFI28S,0.0016633788116,-0.00066629002345,0.99999839461298,0.99864518201825
LFI28M,0.0015571200481,-0.00064144198187,0.99999858196366,0.99868312550607
